,class_names
0,[u'AM General Hummer SUV 2000']
1,[u'Acura RL Sedan 2012']
2,[u'Acura TL Sedan 2012']
3,[u'Acura TL Type-S 2008']
4,[u'Acura TSX Sedan 2012']
5,[u'Acura Integra Type R 2001']
6,[u'Acura ZDX Hatchback 2012']
7,[u'Aston Martin V8 Vantage Convertible 2012']
8,[u'Aston Martin V8 Vantage Coupe 2012']
9,[u'Aston Martin Virage Convertible 2012']
10,[u'Aston Martin Virage Coupe 2012']
11,[u'Audi RS 4 Convertible 2008']
12,[u'Audi A5 Coupe 2012']
13,[u'Audi TTS Coupe 2012']
14,[u'Audi R8 Coupe 2012']
15,[u'Audi V8 Sedan 1994']
16,[u'Audi 100 Sedan 1994']
17,[u'Audi 100 Wagon 1994']
18,[u'Audi TT Hatchback 2011']
19,[u'Audi S6 Sedan 2011']
20,[u'Audi S5 Convertible 2012']
21,[u'Audi S5 Coupe 2012']
22,[u'Audi S4 Sedan 2012']
23,[u'Audi S4 Sedan 2007']
24,[u'Audi TT RS Coupe 2012']
25,[u'BMW ActiveHybrid 5 Sedan 2012']
26,[u'BMW 1 Series Convertible 2012']
27,[u'BMW 1 Series Coupe 2012']
28,[u'BMW 3 Series Sedan 2012']
29,[u'BMW 3 Series Wagon 2012']
30,[u'BMW 6 Series Convertible 2007']
31,[u'BMW X5 SUV 2007']
32,[u'BMW X6 SUV 2012']
33,[u'BMW M3 Coupe 2012']
34,[u'BMW M5 Sedan 2010']
35,[u'BMW M6 Convertible 2010']
36,[u'BMW X3 SUV 2012']
37,[u'BMW Z4 Convertible 2012']
38,[u'Bentley Continental Supersports Conv. Convertible 2012']
39,[u'Bentley Arnage Sedan 2009']
40,[u'Bentley Mulsanne Sedan 2011']
41,[u'Bentley Continental GT Coupe 2012']
42,[u'Bentley Continental GT Coupe 2007']
43,[u'Bentley Continental Flying Spur Sedan 2007']
44,[u'Bugatti Veyron 16.4 Convertible 2009']
45,[u'Bugatti Veyron 16.4 Coupe 2009']
46,[u'Buick Regal GS 2012']
47,[u'Buick Rainier SUV 2007']
48,[u'Buick Verano Sedan 2012']
49,[u'Buick Enclave SUV 2012']
50,[u'Cadillac CTS-V Sedan 2012']
51,[u'Cadillac SRX SUV 2012']
52,[u'Cadillac Escalade EXT Crew Cab 2007']
53,[u'Chevrolet Silverado 1500 Hybrid Crew Cab 2012']
54,[u'Chevrolet Corvette Convertible 2012']
55,[u'Chevrolet Corvette ZR1 2012']
56,[u'Chevrolet Corvette Ron Fellows Edition Z06 2007']
57,[u'Chevrolet Traverse SUV 2012']
58,[u'Chevrolet Camaro Convertible 2012']
59,[u'Chevrolet HHR SS 2010']
60,[u'Chevrolet Impala Sedan 2007']
61,[u'Chevrolet Tahoe Hybrid SUV 2012']
62,[u'Chevrolet Sonic Sedan 2012']
63,[u'Chevrolet Express Cargo Van 2007']
64,[u'Chevrolet Avalanche Crew Cab 2012']
65,[u'Chevrolet Cobalt SS 2010']
66,[u'Chevrolet Malibu Hybrid Sedan 2010']
67,[u'Chevrolet TrailBlazer SS 2009']
68,[u'Chevrolet Silverado 2500HD Regular Cab 2012']
69,[u'Chevrolet Silverado 1500 Classic Extended Cab 2007']
70,[u'Chevrolet Express Van 2007']
71,[u'Chevrolet Monte Carlo Coupe 2007']
72,[u'Chevrolet Malibu Sedan 2007']
73,[u'Chevrolet Silverado 1500 Extended Cab 2012']
74,[u'Chevrolet Silverado 1500 Regular Cab 2012']
75,[u'Chrysler Aspen SUV 2009']
76,[u'Chrysler Sebring Convertible 2010']
77,[u'Chrysler Town and Country Minivan 2012']
78,[u'Chrysler 300 SRT-8 2010']
79,[u'Chrysler Crossfire Convertible 2008']
80,[u'Chrysler PT Cruiser Convertible 2008']
81,[u'Daewoo Nubira Wagon 2002']
82,[u'Dodge Caliber Wagon 2012']
83,[u'Dodge Caliber Wagon 2007']
84,[u'Dodge Caravan Minivan 1997']
85,[u'Dodge Ram Pickup 3500 Crew Cab 2010']
86,[u'Dodge Ram Pickup 3500 Quad Cab 2009']
87,[u'Dodge Sprinter Cargo Van 2009']
88,[u'Dodge Journey SUV 2012']
89,[u'Dodge Dakota Crew Cab 2010']
90,[u'Dodge Dakota Club Cab 2007']
91,[u'Dodge Magnum Wagon 2008']
92,[u'Dodge Challenger SRT8 2011']
93,[u'Dodge Durango SUV 2012']
94,[u'Dodge Durango SUV 2007']
95,[u'Dodge Charger Sedan 2012']
96,[u'Dodge Charger SRT-8 2009']
97,[u'Eagle Talon Hatchback 1998']
98,[u'FIAT 500 Abarth 2012']
99,[u'FIAT 500 Convertible 2012']
100,[u'Ferrari FF Coupe 2012']
101,[u'Ferrari California Convertible 2012']
102,[u'Ferrari 458 Italia Convertible 2012']
103,[u'Ferrari 458 Italia Coupe 2012']
104,[u'Fisker Karma Sedan 2012']
105,[u'Ford F-450 Super Duty Crew Cab 2012']
106,[u'Ford Mustang Convertible 2007']
107,[u'Ford Freestar Minivan 2007']
108,[u'Ford Expedition EL SUV 2009']
109,[u'Ford Edge SUV 2012']
110,[u'Ford Ranger SuperCab 2011']
111,[u'Ford GT Coupe 2006']
112,[u'Ford F-150 Regular Cab 2012']
113,[u'Ford F-150 Regular Cab 2007']
114,[u'Ford Focus Sedan 2007']
115,[u'Ford E-Series Wagon Van 2012']
116,[u'Ford Fiesta Sedan 2012']
117,[u'GMC Terrain SUV 2012']
118,[u'GMC Savana Van 2012']
119,[u'GMC Yukon Hybrid SUV 2012']
120,[u'GMC Acadia SUV 2012']
121,[u'GMC Canyon Extended Cab 2012']
122,[u'Geo Metro Convertible 1993']
123,[u'HUMMER H3T Crew Cab 2010']
124,[u'HUMMER H2 SUT Crew Cab 2009']
125,[u'Honda Odyssey Minivan 2012']
126,[u'Honda Odyssey Minivan 2007']
127,[u'Honda Accord Coupe 2012']
128,[u'Honda Accord Sedan 2012']
129,[u'Hyundai Veloster Hatchback 2012']
130,[u'Hyundai Santa Fe SUV 2012']
131,[u'Hyundai Tucson SUV 2012']
132,[u'Hyundai Veracruz SUV 2012']
133,[u'Hyundai Sonata Hybrid Sedan 2012']
134,[u'Hyundai Elantra Sedan 2007']
135,[u'Hyundai Accent Sedan 2012']
136,[u'Hyundai Genesis Sedan 2012']
137,[u'Hyundai Sonata Sedan 2012']
138,[u'Hyundai Elantra Touring Hatchback 2012']
139,[u'Hyundai Azera Sedan 2012']
140,[u'Infiniti G Coupe IPL 2012']
